C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
1060	TYC 843-629-1                      	HighPM*         	154.8296974686600 +13.3014579850600	154.8297029011703 +13.3014533462806	151.8505052541251 +02.6622918360775	     ~   	11.86    	10.85    	     ~   	     ~   	K0V            	   1	   0
1061	LP 490-23                          	HighPM*         	157.0203035471200 +11.4165111533500	157.0203090798414 +11.4165066680973	154.5309195891632 +01.6838596699262	     ~   	     ~   	     ~   	10.512   	     ~   	K7V            	   9	   0
1062	HD 90663                           	HighPM*         	157.0435179498154 +06.7351267902889	157.0435238262581 +06.7351223066986	156.2677198434231 -02.6636773159138	     ~   	9.49     	     ~   	7.9      	     ~   	K2.5V          	  34	   0
1063	G 43-53                            	HighPM*         	157.1131599199100 +05.8153465400800	157.1131658624796 +05.8153420614815	156.6701687409108 -03.4939137978999	     ~   	12.93    	     ~   	11.037   	     ~   	K7V            	  21	   0
1064	RX J1028.0-0117                    	Star            	157.0071 -01.2928                  	157.0071 -01.2928                  	159.2151 -10.1391                  	     ~   	12.91    	11.98    	     ~   	     ~   	K3V            	   2	   0
1065	BD-09 3063                         	SB*             	156.0622682445238 -10.4058690883031	156.0622753450970 -10.4058736415188	161.8729642031976 -18.9326558492495	     ~   	11.23    	10.036   	9.897    	     ~   	K5.5V          	  40	   0
1066	2E 1019.8-1016                     	Star            	155.5692 -10.5267                  	155.5692 -10.5267                  	161.4483 -19.2304                  	     ~   	     ~   	10.80    	     ~   	     ~   	K5V            	   4	   0
1067	HD 90462                           	HighPM*         	156.578509200 -17.748261700        	156.578516863 -17.748266217        	165.496102233 -25.484627474        	     ~   	9.578    	9.263    	9.113    	     ~   	K0V            	  10	   0
1068	BD-19 3018                         	HighPM*         	156.9055477737900 -20.4529415794800	156.9055556614792 -20.4529460729399	167.0494727906057 -27.8264108371401	     ~   	10.76    	9.954    	     ~   	9.042    	K0V            	  10	   0
1069	HD 90498                           	HighPM*         	156.6459213777600 -21.7563496167500	156.6459293643011 -21.7563541287117	167.4154980884358 -29.1124950602545	     ~   	10.18    	9.29     	     ~   	     ~   	K0V            	  17	   0
1070	HD 90793                           	HighPM*         	157.1624687725100 -22.3964354125500	157.1624768287314 -22.3964398876101	168.2217296479715 -29.4926687086373	     ~   	10.03    	9.23     	     ~   	     ~   	K0V            	   5	   0
1071	LP 490-41                          	HighPM*         	159.3216659477400 +11.9259431478300	159.3216714050895 +11.9259388309232	156.4385164570784 +02.9901007967336	     ~   	     ~   	     ~   	10.569   	     ~   	K5V            	  10	   0
1072	BD+09 2366                         	HighPM*         	158.0027652225637 +08.5105994773397	158.0027709583952 +08.5105950630851	156.4990544992608 -00.6629961145271	13.473   	12.10    	10.798   	10.331   	9.103    	K5V            	  32	   0
1073	BPM 86854                          	HighPM*         	158.2643950899200 +05.5990393224400	158.2644010394192 +05.5990349273119	157.8167594946309 -03.2727062450623	     ~   	13.0     	12.022   	11.580   	     ~   	K4V            	   2	   0
1074	LP 550-167                         	HighPM*         	158.8908417029500 +05.4935483563200	158.8908476556551 +05.4935440073601	158.4358991556434 -03.1394283097941	     ~   	     ~   	     ~   	11.318   	     ~   	K5V            	   6	   0
1075	V* LR Hya                          	BYDraV*         	159.0092132446000 -11.9133144143200	159.0092205035080 -11.9133187544975	165.3113931117800 -19.1971117547508	     ~   	8.89     	8.03     	     ~   	     ~   	K1.5Vk:        	  71	   0
1076	HD 92213                           	HighPM*         	159.6585766307900 -13.7599283577200	159.6585840459632 -13.7599326493905	166.7073842377558 -20.6422275171308	     ~   	10.18    	9.38     	     ~   	     ~   	K0V            	  19	   0
1077	V* V418 Hya                        	HighPM*         	159.1282997145600 -13.8432844551300	159.1283071265400 -13.8432887864534	166.2376444668592 -20.9237683897013	     ~   	9.60     	8.75     	     ~   	     ~   	K2V            	  37	   0
1078	BD-20 3194                         	HighPM*         	157.5915214598442 -21.2367811247972	157.5915294324437 -21.2367855689297	168.0793136064743 -28.2728727912816	     ~   	10.84    	9.66     	     ~   	     ~   	K5Vk:          	  29	   0
1079	BD-20 3198                         	**              	157.765132400 -21.644490900        	157.765140412 -21.644495332        	168.440179017 -28.575564549        	     ~   	11.43    	10.14    	9.90     	     ~   	K7V            	  27	   0
1080	CD-22 8371                         	HighPM*         	159.5255897770600 -23.5500087374000	159.5255980098845 -23.5500130390496	171.0492583139987 -29.6123230939487	     ~   	11.28    	10.26    	10.10    	     ~   	K4V            	  12	   0
1081	BD+22 2271                         	HighPM*         	161.8300300062242 +21.4975111368678	161.8300346091887 +21.4975070113710	155.0139782751066 +12.7565363743078	     ~   	11.37    	     ~   	9.737    	     ~   	K5V            	  33	   0
1082	G 45-2                             	HighPM*         	160.4518450708700 +12.1088632815500	160.4518504958502 +12.1088590498834	157.3967878197662 +03.5733011801916	     ~   	13.03    	     ~   	11.136   	     ~   	K7V            	  21	   0
1083	HD 93729                           	HighPM*         	162.3283088418300 -02.7761385966100	162.3283154211299 -02.7761426831305	164.7803358977201 -09.4998842934841	     ~   	9.45     	8.65     	     ~   	     ~   	K0V            	   7	   0
1084	BD-05 3135                         	HighPM*         	161.2661072178100 -05.9876090571900	161.2661140428371 -05.9876132264211	165.0453887945939 -12.8714331911145	     ~   	12.09    	10.754   	10.497   	9.81     	K4V            	   5	   1
1085	BD-06 3245                         	Star            	162.8504463830500 -07.5671333197800	162.8504533468308 -07.5671373651265	167.1658311718146 -13.7149137926104	     ~   	11.85    	10.59    	9.82     	9.649    	K2V            	   9	   0
1086	BD-20 3278                         	HighPM*         	162.6178994610100 -20.8806602247400	162.6179075464661 -20.8806642884660	172.6943642781021 -25.9788936013007	     ~   	11.66    	10.636   	10.411   	     ~   	K4V            	  15	   0
1087	BD-21 3153                         	HighPM*         	161.8557839793800 -22.2867151569700	161.8557921708147 -22.2867192804597	172.6438241803531 -27.5527866552116	     ~   	11.049   	10.000   	9.877    	     ~   	K4.5Vk:        	  37	   0
1088	HD 93528                           	HighPM*         	161.8798093093900 -22.3480325068600	161.8798175071199 -22.3480366284768	172.6960052564786 -27.5987696329977	     ~   	9.19     	8.388    	     ~   	7.515    	K0V            	  40	   0
1089	V* GZ Leo                          	RSCVnV*         	165.5094493207800 +22.5959689126700	165.5094537177710 +22.5959650821416	157.7996046019551 +15.1076166190033	     ~   	9.82     	8.880    	     ~   	7.910    	K0Ve+K0Ve      	  43	   0
1090	StKM 2-677                         	HighPM*         	163.8928412715830 +19.4327174451093	163.8928460064779 +19.4327134829638	157.6568242015202 +11.6057081745264	     ~   	13.03    	10.928   	10.603   	     ~   	K5V            	   6	   0
1091	HD 94765                           	BYDraV*         	164.1283304600300 +07.3884742992500	164.1283362213095 +07.3884703560833	162.5423499649212 +00.5788285471463	8.944    	8.252    	7.379    	6.815    	6.442    	K0V            	  94	   0
1092	MCC 275                            	HighPM*         	163.1650724230300 +00.4838754806600	163.1650787456405 +00.4838714602862	164.2980400052391 -06.1683416719491	     ~   	11.937   	10.655   	10.297   	     ~   	K4V            	  36	   0
1093	BD-04 2994                         	HighPM*         	164.9405398950600 -05.3700219269400	164.9405466962008 -05.3700258041395	168.2424169481373 -10.8805545024969	     ~   	11.47    	10.61    	     ~   	     ~   	K1V            	   7	   0
1094	GSC 04924-00777                    	HighPM*         	165.1195366356200 -04.4454305152500	165.1195433616013 -04.4454343778063	168.0420099305766 -09.9597800038368	     ~   	13.4     	12.46    	     ~   	     ~   	K8Ve           	   7	   0
1095	BD-05 3176                         	HighPM*         	164.6015298405404 -06.7372359907478	164.6015367519271 -06.7372398955770	168.4726007814160 -12.2705436938965	     ~   	11.41    	10.242   	10.059   	     ~   	K4V            	  27	   0
1096	V* AB Crt                          	BYDraV*         	165.7088473936100 -09.3303037854700	165.7088545323069 -09.3303075995508	170.5597580244139 -14.2196271557540	     ~   	10.03    	9.04     	     ~   	     ~   	K3V            	  25	   0
1097	BD-10 3166                         	HighPM*         	164.6199338077200 -10.7703874265100	164.6199410551634 -10.7703913298428	170.1351594998477 -15.9675835115615	     ~   	10.88    	10.01    	9.85     	9.19     	K3.0V          	 123	   1
1098	HD 94374                           	HighPM*         	163.3437643945583 -14.3745037539475	163.3437719272141 -14.3745077600839	170.4585668267082 -19.7683472549070	     ~   	10.21    	9.25     	     ~   	     ~   	K3V            	  22	   0
1099	HD 95653                           	HighPM*         	165.5594786849400 -15.9268927214200	165.5594863937662 -15.9268965478259	173.2111099563486 -20.3133738111975	     ~   	10.04    	9.30     	     ~   	     ~   	K0V            	  14	   0
1100	LP 791-20                          	HighPM*         	165.8027865457350 -16.3408333315531	165.8027942962885 -16.3408371378691	173.6202139123645 -20.5945266484909	     ~   	13.09    	11.834   	11.479   	     ~   	K5V            	   8	   0
1101	HD 94309                           	HighPM*         	163.2460709655200 -16.3836580809300	163.2460786686137 -16.3836620948550	171.2415365430134 -21.6416416704890	     ~   	9.12     	8.35     	     ~   	     ~   	K0V            	   3	   0
1102	BD-16 3141                         	HighPM*         	163.1630897919800 -17.3526581697200	163.1630975775510 -17.3526621902515	171.5932611463171 -22.5576494721776	     ~   	11.29    	10.31    	     ~   	     ~   	K3V            	  11	   0
1103	BD-16 3156                         	Star            	164.4623039588700 -16.7738410245000	164.4623117211733 -16.7738449406367	172.5567776550799 -21.5184147163065	     ~   	11.7     	10.3     	     ~   	     ~   	K3V            	   7	   0
1104	HD 95166                           	SB*             	164.7771851229600 -21.7049194060100	164.7771933429914 -21.7049232965401	175.1088547433592 -25.8712153139167	     ~   	10.45    	9.69     	     ~   	     ~   	K0V            	  10	   0
1105	HD 95628                           	HighPM*         	165.5075245320800 -21.4974619489400	165.5075327519330 -21.4974657796268	175.6919820908449 -25.3939916126919	     ~   	9.79     	8.96     	     ~   	     ~   	K0V            	  11	   0
1106	HD 95872                           	HighPM*         	165.8670432573100 -22.0939854009600	165.8670515438744 -22.0939892019589	176.3092734521289 -25.7906380518423	     ~   	10.78    	9.89     	     ~   	     ~   	K0V            	  17	   0
1107	RX J1102.1-2252                    	HighPM*         	165.5270940922500 -22.8746790522300	165.5271024449679 -22.8746828813046	176.3669784268885 -26.6305568699381	     ~   	12.92    	11.68    	11.35    	     ~   	K5Ve           	   8	   0
1108	MCC 280                            	HighPM*         	167.4683991455900 +21.6255106739400	167.4684035848978 +21.6255070069768	159.9238390226590 +14.9451117834435	     ~   	12.26    	11.045   	10.765   	     ~   	K5V            	  14	   0
1109	BD+19 2427                         	HighPM*         	167.9695190669400 +18.9958418574200	167.9695237483006 +18.9958382329947	161.4515781885235 +12.7234543592230	     ~   	     ~   	     ~   	10.141   	     ~   	K4V            	  15	   0
1110	G 120-28                           	HighPM*         	168.5501281370500 +18.1250932599800	168.5501328889888 +18.1250896851866	162.3240486468301 +12.1444556893057	     ~   	     ~   	     ~   	11.410   	     ~   	K5V            	   9	   0
1111	HD 96345                           	SB*             	166.63155135 +14.26240658          	166.63155649 +14.26240284          	162.15292157 +07.86836296          	     ~   	     ~   	     ~   	     ~   	     ~   	K2V            	  29	   0
1112	HD 97503                           	HighPM*         	168.3051443117446 +04.4823432016114	168.3051502886862 +04.4823396058311	167.4964970159743 -00.4973135352399	11       	9.79     	9.32     	8.84     	7.335    	K5V            	  87	   0
1113	BD+01 2535                         	**              	168.29197116 +00.23883761          	168.29197750 +00.23883401          	169.14093911 -04.41002801          	12.884   	11.742   	10.295   	9.392    	8.492    	K6V            	  42	   0
1114	HD 97214                           	HighPM*         	167.7945864985296 -10.9508865689000	167.7945938016344 -10.9508902082061	173.1735505722317 -14.8836670542734	11.26    	10.333   	9.219    	8.531    	7.945    	K5V            	  76	   0
1115	HD 97233                           	HighPM*         	167.8881203565775 -14.9913684962475	167.8881280229792 -14.9913721276012	174.9740561042572 -18.5389822585425	11.394   	10.26    	9.038    	8.285    	7.607    	K5Vk:          	  79	   1
1116	BD-18 3106                         	HighPM*         	166.8654254839100 -19.2914880836200	166.8654335282220 -19.2914918013947	175.9322734963652 -22.8566858334550	13.038   	11.828   	10.379   	9.458    	8.522    	K5V            	  31	   0
1117	BD-19 3190                         	EclBin          	167.5591977164900 -20.1186353373100	167.5592058554910 -20.1186389965863	176.9552953631392 -23.3312555063580	     ~   	10.67    	9.47     	     ~   	     ~   	K4V+M0V        	   4	   0
1118	HD 97782                           	**              	168.70071412 -23.10492336          	168.70072258 -23.10492693          	179.41229275 -25.57684375          	11.197   	10.14    	9.005    	8.3      	7.655    	K5V            	  29	   0
1119	HD 96908                           	HighPM*         	167.3231792660800 -23.6971856387800	167.3231877507755 -23.6971893180178	178.4292010471919 -26.6584542315464	     ~   	10.66    	9.80     	     ~   	     ~   	K0V            	   8	   0
1120	BD+15 2325                         	HighPM*         	170.5781869204342 +14.4455098999192	170.5781919833783 +14.4455065013361	165.6343814644424 +09.5446516071231	     ~   	11.42    	     ~   	9.6      	     ~   	K5V            	  31	   0
1121	StKM 2-732                         	HighPM*         	170.9581363860700 +10.6189520718200	170.9581417981520 +10.6189487067296	167.5096165988592 +06.1785872415083	     ~   	     ~   	     ~   	10.267   	     ~   	K6V            	  15	   0
1122	LP 552-48                          	HighPM*         	170.8743247492100 +07.0249189297500	170.8743304871789 +07.0249155572588	168.8541541818986 +02.8427442751468	12.747   	11.61    	10.43    	9.98     	8.826    	K4V            	  29	   0
1123	HD 99029                           	HighPM*         	170.9656195488800 +03.6189305595600	170.9656255898210 +03.6189271951307	170.2766194710104 -00.2535657327366	     ~   	     ~   	     ~   	8.3      	     ~   	K0V            	  22	   0
1124	HD 98198                           	HighPM*         	169.4460408414100 +00.7913037789800	169.4460471338595 +00.7913002814898	169.9888554586024 -03.4501269534330	     ~   	9.79     	8.84     	     ~   	     ~   	K1V            	   5	   0
1125	HD 99345                           	Star            	171.4647930187000 -02.1264007668000	171.4647995688534 -02.1264040869985	173.0013789067623 -05.3384460195851	     ~   	10.02    	9.10     	     ~   	     ~   	K0V            	   3	   0
1126	K2-8                               	Star            	169.7936727090800 -00.2843705918800	169.7936790949699 -00.2843740591437	170.7321846030457 -04.3033064056133	     ~   	15.65    	     ~   	     ~   	     ~   	K3V            	  14	   0
1127	HD 98356                           	HighPM*         	169.6654159440200 -10.1262055555600	169.6654231953811 -10.1262090339904	174.5679296074193 -13.3887573061798	     ~   	9.53     	8.66     	     ~   	     ~   	K0V            	  52	   0
1128	LP 732-16                          	HighPM*         	169.6611984599896 -12.9862964985642	169.6612059705782 -12.9862999773615	175.7604956423367 -16.0059608389985	     ~   	12.19    	10.955   	10.710   	     ~   	K7V            	  12	   0
1129	BD-13 3333                         	HighPM*         	169.0922768288900 -14.6933767661300	169.0922844878887 -14.6933802942476	175.9626205227428 -17.7897344643931	12.606   	11.397   	9.980    	9.099    	8.284    	K7V            	  40	   0
1130	BD-17 3336                         	HighPM*         	168.8310235328600 -18.1444940120239	168.8310315107111 -18.1444975626735	177.2360317584442 -21.0348962103941	     ~   	10.116   	10.323   	     ~   	     ~   	K7V            	  66	   1
1131	BD-17 3337                         	HighPM*         	168.8364169469259 -18.1437398629539	168.8364249248146 -18.1437434131391	177.2406820447153 -21.0320682565974	     ~   	10.234   	10.030   	9.11     	8.36     	K5V            	  70	   1
1132	HD 98712                           	BYDraV*         	170.36109929 -20.45378434          	170.36110753 -20.45378776          	179.69407044 -22.52085761          	     ~   	     ~   	     ~   	     ~   	     ~   	K7V+M2.5Ve     	  95	   1
1133	CPD-20 5137                        	HighPM*         	169.9535568828300 -21.4250651621500	169.9535652067510 -21.4250686154688	179.7693825880676 -23.5617495655505	     ~   	12.00    	11.037   	10.735   	     ~   	K4V            	   6	   0
1134	BD-22 3113                         	HighPM*         	169.8619181837200 -23.2576975802200	169.8619266923043 -23.2577010415346	180.5509402478830 -25.2526821454168	     ~   	11.7     	10.9     	     ~   	     ~   	K3V            	  10	   0
1135	BPM 87452                          	HighPM*         	173.3462824690300 +22.4009738923300	173.3462866877187 +22.4009707410834	164.7783574419050 +17.8802013203978	     ~   	12.8     	11.719   	11.251   	     ~   	K7V            	   2	   0
1136	BD+17 2376                         	HighPM*         	173.9965643560100 +16.9682499891100	173.9965691203768 +16.9682468970563	167.6730639055110 +13.1774623342775	     ~   	10.55    	9.52     	     ~   	     ~   	K8V            	  16	   0
1137	BD+16 2260                         	HighPM*         	171.7081831159100 +15.2940092022100	171.7081880809021 +15.2940059036693	166.3074408911527 +10.7586555989528	     ~   	11.64    	10.438   	10.054   	     ~   	K6V            	  11	   0
1138	BPM 74587                          	HighPM*         	171.8156172263900 -02.1357428109200	171.8156237781294 -02.1357460998817	173.3284947707718 -05.2084695840273	     ~   	12.23    	10.949   	10.602   	     ~   	K5V            	   3	   0
1139	HD 100238                          	RGB*            	172.9858692935700 -06.4705256761000	172.9858762419114 -06.4705288599792	176.1424817462633 -08.7230082519920	     ~   	7.796    	6.746    	     ~   	     ~   	K0VCNIII       	  20	   0
1140	BD-12 3458                         	HighPM*         	173.7100887624100 -13.2420234568700	173.7100963513273 -13.2420265750500	179.6015277568781 -14.6304935605141	     ~   	11.55    	10.344   	10.107   	     ~   	K7V            	  30	   0
1141	LP 733-8                           	HighPM*         	173.0101227221000 -11.6580517560800	173.0101301517932 -11.6580549377672	178.2930118925200 -13.4622342634260	     ~   	11.89    	10.805   	10.559   	     ~   	K3V            	   9	   0
1142	BD-15 3267                         	HighPM*         	171.8107556448618 -16.0620719883906	171.8107634776229 -16.0620752777859	179.0645527005454 -17.9565919778498	     ~   	11.907   	10.733   	10.554   	     ~   	K4V            	  17	   0
1143	HD 99550                           	HighPM*         	171.7835083835100 -18.1664941437100	171.7835164213217 -18.1664974355357	179.9655005540471 -19.8809065858090	     ~   	10.31    	9.45     	     ~   	     ~   	K0V            	   7	   0
1144	BPM 74620                          	HighPM*         	172.8441710978300 -17.9012196220900	172.8441791288762 -17.9012228187645	180.8198617676882 -19.2180635267901	     ~   	12.66    	11.856   	11.519   	     ~   	K5V            	   6	   0
1145	HD 99637                           	Star            	171.9301712370600 -21.1620383584700	171.9301795794868 -21.1620416372051	181.4573204070811 -22.5377139924708	     ~   	10.52    	9.52     	     ~   	     ~   	K1V            	   4	   0
1146	StKM 2-765                         	HighPM*         	177.1211311338100 +14.6723642840400	177.1211360826530 +14.6723614818225	171.4457151319753 +12.3019457393971	     ~   	     ~   	     ~   	10.442   	     ~   	K4V            	   6	   0
1147	V* GQ Leo                          	HighPM*         	176.9405257244200 +12.9009307992700	176.9405308521130 +12.9009279800642	172.0147621523867 +10.6114647589519	     ~   	11.92    	10.831   	10.508   	     ~   	K5Ve           	  23	   0
1148	RE J1147+12                        	Star            	176.75000 +12.00000                	176.75001 +12.00000                	172.21115 +09.71206                	     ~   	     ~   	     ~   	     ~   	     ~   	K5Ve           	   2	   0
1149	BD+05 2529                         	SB*             	175.4565899428675 +05.1407119699064	175.4565958262552 +05.1407090121929	173.7903516555464 +02.9133308745419	12.012   	10.818   	9.585    	8.802    	8.133    	K4V            	  60	   0
1150	HD 102195                          	HighPM*         	176.4262202817900 +02.8214789279000	176.4262263787659 +02.8214760604711	175.6001219125629 +01.1687668717623	     ~   	     ~   	     ~   	7.6      	     ~   	K0V            	 123	   1
1151	GAT 1135                           	Star            	177.0431030701230 +00.9050299825875	177.0431093460877 +00.9050271730271	176.9271354059094 -00.3452052867916	     ~   	13.681   	12.905   	12.865   	     ~   	K2V            	   1	   0
1152	BD-00 2487                         	HighPM*         	176.6625683097800 -00.9550305354300	176.6625747604299 -00.9550333807265	177.3170382118690 -02.2033450587452	     ~   	11.1     	10.2     	9.5      	9.3      	K0V            	  11	   0
1153	Ross 914                           	HighPM*         	176.4476954946900 -00.8148259734700	176.4477019320408 -00.8148288388899	177.0639865130332 -02.1600524273472	     ~   	12.8     	11.634   	11.209   	     ~   	K5V            	   8	   0
1154	BD+00 2827                         	HighPM*         	175.8542500086700 -00.6736432104000	175.8542564324573 -00.6736461311874	176.4628794513660 -02.2661644226044	     ~   	11.9     	10.7     	10.29    	     ~   	K1V            	   8	   0
1155	MGC 23593                          	HighPM*         	175.2276048223400 -00.0758438608200	175.2276111904649 -00.0758468397321	175.6499175705370 -01.9661252037479	     ~   	12.49    	     ~   	     ~   	     ~   	K2V            	   2	   0
1156	HD 102392                          	**              	176.7659843408 -11.8240506267      	176.7659918275 -11.8240534623      	181.8079750577 -12.1201589717      	11.297   	10.187   	9.033    	8.357    	7.778    	K4.5V          	  44	   0
1157	HD 101896                          	HighPM*         	175.8923397513200 -14.0201786090100	175.8923474439708 -14.0201815262529	181.9297090273614 -14.4725890067317	     ~   	9.14     	8.28     	     ~   	     ~   	K0V            	  13	   0
1158	TYC 5513-117-1                     	Star            	175.8613241004700 -12.3005571698000	175.8613316239668 -12.3005600899291	181.1785191952171 -12.9152235005798	     ~   	12.05    	10.605   	10.279   	     ~   	K5V            	   2	   1
1159	LP 851-502                         	HighPM*         	177.0619222073200 -22.1264694849100	177.0619307603695 -22.1264722926998	186.5522077830022 -21.3742846842445	     ~   	12.64    	11.184   	10.954   	     ~   	K4V            	  10	   0
1160	CSI-22-11392                       	Star            	175.4250 -23.1833                  	175.4250 -23.1833                  	185.5676 -22.9766                  	     ~   	     ~   	9.2      	     ~   	     ~   	K7V            	   1	   0
1161	HD 103418                          	SB*             	178.6430944457200 +23.8109808479300	178.6430983946236 +23.8109781899624	168.8381675761167 +21.2100888844862	     ~   	10.06    	9.30     	     ~   	     ~   	K0V            	  18	   0
1162	HD 103072                          	HighPM*         	178.0347384257075 +18.7551820546317	178.0347429403724 +18.7551793387741	170.5397823115397 +16.3841845961619	     ~   	9.32     	     ~   	7.8      	     ~   	K2V            	  41	   0
1163	BD+16 2316                         	**              	178.60719415 +15.25338513          	178.60719902 +15.25338247          	172.54738573 +13.41783437          	     ~   	11.64    	10.45    	9.93     	     ~   	K4V            	  25	   0
1164	V* PQ Vir                          	HighPM*         	177.3669325815400 +00.6091442656300	177.3669388851769 +00.6091414865781	177.3418525123746 -00.4880838141638	     ~   	10.02    	9.13     	     ~   	     ~   	K0V            	  22	   0
1165	LP 553-75                          	HighPM*         	178.0000055683200 +02.3029592835300	178.0000117108101 +02.3029565643765	177.2493004171120 +01.3177229265460	     ~   	     ~   	     ~   	10.346   	     ~   	K4V            	   6	   0
1166	BD+00 2844                         	HighPM*         	177.4639850947100 -00.2042824609700	177.4639914751121 -00.2042852308611	177.7542278386438 -01.1959449815331	     ~   	11.261   	10.439   	     ~   	     ~   	K0V            	  10	   0
1167	HD 102843                          	HighPM*         	177.5872092724842 -01.2524572201556	177.5872157520155 -01.2524599784040	178.2842387878586 -02.1087316789109	     ~   	9.983    	9.244    	     ~   	     ~   	K0V            	  57	   0
1168	BD-13 3470                         	HighPM*         	178.6850481029000 -14.0238090369800	178.6850558298291 -14.0238116909441	184.4781928898132 -13.3668543508264	     ~   	11.79    	10.613   	10.382   	     ~   	K6V            	  14	   0
1169	HD 102698                          	HighPM*         	177.3767460999000 -16.6056972937800	177.3767540732827 -16.6057000719059	184.3868204207621 -16.2391807701312	     ~   	11.05    	9.91     	     ~   	     ~   	K4V            	  15	   0
1170	HD 103579                          	HighPM*         	178.8837180844500 -15.9528870940700	178.8837260113315 -15.9528897290571	185.4751439798269 -15.0473916524378	     ~   	10.03    	9.29     	     ~   	     ~   	K0V            	  15	   0
1171	BPM 55440                          	HighPM*         	177.5649720903100 -22.2879522137100	177.5649806711047 -22.2879549740603	187.0784311525679 -21.3216483221102	     ~   	12.53    	11.096   	10.880   	     ~   	K4V            	   7	   0
1172	HD 104067                          	HighPM*         	179.7917035204288 -20.3537811297544	179.7917119288054 -20.3537836776108	188.2073135144816 -18.6913872127743	9.683    	8.897    	7.921    	7.369    	6.913    	K2V            	 111	   1
1173	BD-21 3407                         	HighPM*         	178.2908835090987 -22.0400008824628	178.2908920765509 -22.0400035739829	187.6170299393408 -20.8109406547318	     ~   	11.462   	10.373   	10.225   	9.252    	K5V            	  12	   0
1174	HD 103991                          	HighPM*         	179.6161514060942 -23.6357760047342	179.6161601788786 -23.6357785694871	189.5331701746051 -21.7328400567432	     ~   	10.42    	9.49     	     ~   	     ~   	K2.5V          	  16	   0
1175	HD 103949                          	HighPM*         	179.5487694759800 -23.9238882220800	179.5487782805156 -23.9238907933120	189.6062148624641 -22.0195733609181	     ~   	9.74     	8.72     	     ~   	     ~   	K3V            	  44	   0
1176	HD 105844                          	HighPM*         	182.7490595712999 +22.8618211271700	182.7490635532909 +22.8618188674236	172.9396545045482 +21.9643966920154	     ~   	8.82     	     ~   	7.6      	     ~   	K0V            	  35	   0
1177	Wolf 1434                          	HighPM*         	182.3045239397141 +19.4676702646044	182.3045283124971 +19.4676679611473	174.0739766625568 +18.7145915118343	     ~   	12.33    	     ~   	10.604   	     ~   	K7V            	  27	   0
1178	V* LV Com                          	BYDraV*         	181.9621743374700 +18.9488366216900	181.9621787721319 +18.9488342846644	173.9936805462224 +18.1080439493609	     ~   	10.09    	9.16     	     ~   	     ~   	K2V            	  25	   0
1179	BD+19 2534                         	HighPM*         	182.2581582416900 +18.3214505771500	182.2581627408080 +18.3214482691417	174.5367964858032 +17.6551522395760	     ~   	11.50    	10.66    	     ~   	     ~   	K0V            	  12	   0
1180	BD+19 2536                         	HighPM*         	182.5185448518500 +18.9767092022500	182.5185492757474 +18.9767069198202	174.4845436666379 +18.3535516755088	     ~   	11.3     	     ~   	9.5      	     ~   	K3V            	  15	   0
1181	HD 104923                          	HighPM*         	181.2373500551300 +17.4766370128900	181.2373546590370 +17.4766346050699	173.9802587123673 +16.4828603515322	     ~   	9.43     	     ~   	8.2      	     ~   	K0V            	  34	   0
1182	TYC 1444-1990-1                    	HighPM*         	182.7147579825600 +18.7718226242800	182.7147624263117 +18.7718203611559	174.7524630880774 +18.2451778965998	     ~   	12.94    	11.42    	     ~   	     ~   	K3V            	   2	   0
1183	TYC 1444-2471-1                    	HighPM*         	181.6851678401700 +19.5746556938300	181.6851722101003 +19.5746533297041	173.4673757740676 +18.5667960571818	     ~   	11.72    	11.09    	     ~   	     ~   	K0V            	   1	   0
1184	MCC 632                            	HighPM*         	181.2977923343300 +12.1603834049500	181.2977974922624 +12.1603810030188	176.2837849194649 +11.6582457968296	     ~   	12.42    	11.080   	10.586   	     ~   	K5V            	  17	   0
1185	MCC 635                            	**              	182.49498457 +05.45446484          	182.49499039 +05.45446256          	180.11225302 +05.99539534          	     ~   	12.86    	11.401   	10.876   	     ~   	K5V            	  23	   0
1186	BD+06 2557                         	HighPM*         	182.3103650673600 +05.4702151539700	182.3103708897787 +05.4702128510864	179.9365366989628 +05.9363961455271	     ~   	     ~   	     ~   	10.476   	     ~   	K3V            	   7	   0
1187	BD+02 2516                         	HighPM*         	181.9169835191200 +01.6022051634100	181.9169897233350 +01.6022028219596	181.1214741890986 +02.2324600071355	     ~   	10.75    	     ~   	9.447    	     ~   	K3V            	  14	   0
1188	BD-04 3196                         	HighPM*         	181.1100641361800 -05.7499412685600	181.1100710587302 -05.7499436887727	183.3102460773764 -04.8330372255213	     ~   	11.90    	10.801   	10.499   	     ~   	K5V            	  18	   0
1189	LP 734-35                          	HighPM*         	182.6400260631096 -11.4499174780360	182.6400335662231 -11.4499197485161	187.0097493597892 -09.4492087306390	     ~   	12.77    	11.119   	10.797   	     ~   	K5V            	  10	   0
