C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
58  	V* V652 Tau                        	YSO             	056.9207697580800 +22.9299724442300	056.9207782915161 +22.9299691920691	059.7806346918666 +02.8940518593545	     ~   	13.28    	12.22    	     ~   	11.14    	K3V            	  43	   0
59  	Cl Melotte 22 1464                 	Star            	056.8857651906700 +23.6789632609700	056.8857738045628 +23.6789600119470	059.9124229384242 +03.6320959866489	     ~   	     ~   	12.84    	     ~   	     ~   	K0V            	   4	   0
60  	HD 283066                          	HighPM*         	057.7629789205200 +23.9036509129600	057.7629875361608 +23.9036475856704	060.7463321872241 +03.6787939244012	     ~   	11.364   	10.118   	9.821    	     ~   	K6V            	  77	   0
61  	V* V357 Tau                        	Eruptive*       	057.2970150221400 +23.5552249725500	057.2970236125931 +23.5552216867386	060.2541454853733 +03.4297061658665	     ~   	15.60    	14.23    	     ~   	12.50    	K6Ve           	  46	   0
62  	V* V660 Tau                        	Eruptive*       	057.1167872892700 +23.3007588090600	057.1167958571881 +23.3007555393502	060.0373934773291 +03.2169230701455	     ~   	13.66    	12.60    	     ~   	11.43    	K2V            	  85	   0
63  	Cl Melotte 22 2126                 	YSO             	057.2597235341900 +23.2524365714300	057.2597320934752 +23.2524332889476	060.1553494478429 +03.1413947365482	     ~   	12.50    	11.64    	     ~   	10.80    	K0V            	  48	   0
64  	Cl Melotte 22 2209                 	Eruptive*       	057.3012811285900 +23.2283451195800	057.3012896843050 +23.2283418333879	060.1874993976657 +03.1096459700104	     ~   	15.85    	14.38    	     ~   	12.66    	K6.5Ve         	  30	   0
65  	Cl Melotte 22 2106                 	YSO             	057.2436937467500 +23.2011788528800	057.2437023010092 +23.2011755718290	060.1298814071819 +03.0945157245104	     ~   	12.39    	11.53    	     ~   	10.59    	K0V            	  37	   0
66  	V* V812 Tau                        	BYDraV*         	056.5171930046600 +23.4055217204100	056.5172015983830 +23.4055185045000	059.5221449673549 +03.4392099399585	14.725   	13.73    	12.66    	     ~   	11.62    	K3V            	  68	   0
67  	V* V641 Tau                        	YSO             	056.6157262950800 +23.5927142821400	056.6157349064215 +23.5927110573645	059.6516489247145 +03.6019927160680	15.602   	14.28    	13.05    	     ~   	11.52    	K0V            	  80	   0
68  	Wolf 1291                          	HighPM*         	057.1619294889200 +21.0566218035400	057.1619378217554 +21.0566185297941	059.5931561361914 +01.0167310917767	     ~   	11.67    	     ~   	10.131   	     ~   	K5V            	  17	   0
69  	G 6-36                             	HighPM*         	056.9767077191638 +16.7566355179878	056.9767156254618 +16.7566322608151	058.4914845421775 -03.1435380154594	     ~   	13.87    	     ~   	11.909   	     ~   	K5V            	  16	   0
70  	V* V471 Tau                        	EclBin          	057.6040277291000 +17.2465085863100	057.6040356722118 +17.2465052731450	059.1836959434662 -02.7942706599478	     ~   	10.258   	9.373    	     ~   	8.393    	K2V+DA         	 639	   0
71  	G 6-35                             	HighPM*         	056.5769653958233 +15.4599543140833	056.5769731825359 +15.4599510927942	057.8320958427129 -04.3250343345815	     ~   	13.20    	     ~   	11.342   	     ~   	K5V            	  14	   0
72  	BD+11 520                          	HighPM*         	056.8463488648400 +11.4771405075300	056.8463562694261 +11.4771372620419	057.2087544534587 -08.2680890639903	     ~   	12.41    	     ~   	10.795   	     ~   	K4V            	   8	   0
73  	HG 7-15                            	HighPM*         	057.0494320039200 +07.1462437724700	057.0494390079359 +07.1462405087861	056.4357664542462 -12.5364696346921	     ~   	12.189   	     ~   	10.375   	     ~   	K7V            	  53	   0
